group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
繊維製品/アパレル・アクセサリー,2151,24,10,100,103.35,0.265,-28.35,42.5,40.0,65.7,0.453,-6.5,40.0,5
繊維製品/不動産(非住宅),2152,3,25,100,143.87,0.236,-50.22,32.35,34.0,21.89,0.309,-25.9,42.86,7
繊維製品/化学,2153,4,25,75,4.84,0.089,-37.24,36.84,38.0,41.24,0.563,-17.81,50.0,10
繊維製品/紙・パルプ製品・他素材,2154,3,5,25,42.59,0.172,-47.32,38.41,151.0,16.23,0.253,-35.75,33.33,30
パルプ・紙,2200,5,20,25,554.86,0.366,-51.86,48.92,139.0,0.64,0.117,-40.27,45.16,31
パルプ紙/紙・パルプ製品・他素材,2201,20,25,50,-34.77,-0.035,-57.17,34.48,58.0,46.99,0.649,-12.49,66.67,9
化学,2250,23,20,100,98.53,0.187,-43.6,34.48,29.0,-44.0,-0.834,-46.64,33.33,9
化学/トイレタリー・化粧品,2251,27,25,75,211.07,0.268,-37.88,41.46,41.0,-11.62,-0.154,-25.54,40.0,5
化学/化学,2252,115,20,100,-24.38,-0.084,-37.8,37.25,51.0,109.19,0.651,-7.07,66.67,6
化学/建設関連製品・設備,2253,5,20,75,119.55,0.286,-51.03,40.0,45.0,56.18,0.825,-2.96,71.43,7
化学/自動車部品,2254,7,20,100,66.27,0.199,-43.2,48.57,35.0,-18.93,-0.133,-42.6,30.0,10
化学/電子部品・産業用電子機器,2255,25,10,75,5.9,0.126,-75.73,33.96,53.0,-40.64,-0.186,-62.57,27.27,11
化学/食品,2256,5,25,50,-6.73,0.005,-35.22,50.0,66.0,-23.56,-0.349,-42.62,20.0,15
医薬品,2300,10,10,50,230.07,0.326,-34.73,46.77,62.0,-14.12,-0.247,-22.6,38.89,18
医薬品/バイオテクノロジー,2301,33,25,75,-75.8,-0.047,-83.32,32.5,40.0,-82.67,-0.618,-82.67,25.0,8
医薬品/ヘルスケア製品・サービス,2302,7,10,100,-32.61,-0.002,-63.35,34.04,47.0,-53.83,-1.001,-57.52,27.27,11
医薬品/医薬品,2303,31,10,25,-69.9,-0.23,-79.08,29.03,124.0,-15.55,-0.067,-43.13,30.43,23
石油・石炭製品,2350,5,25,75,99.6,0.233,-49.18,46.34,41.0,40.92,0.379,-27.18,57.14,7
石油石炭/燃料・資源,2351,6,10,25,267.05,0.378,-39.01,45.95,111.0,35.4,0.443,-30.68,48.0,25
ゴム製品,2400,18,10,75,13.94,0.113,-47.59,37.74,53.0,5.48,0.153,-15.5,42.86,7
ガラス・土石製品,2450,7,20,25,-60.08,-0.091,-70.36,42.0,150.0,-12.98,0.016,-50.93,39.29,28
ガラス土石/住宅設備・機器,2451,4,5,75,77.84,0.214,-65.7,40.54,74.0,-29.59,-0.739,-33.42,25.0,16
ガラス土石/建設関連製品・設備,2452,17,5,75,155.16,0.254,-57.86,30.77,65.0,25.72,0.349,-25.21,50.0,14
ガラス土石/紙・パルプ製品・他素材,2453,16,25,100,7.65,0.107,-65.07,47.22,36.0,38.16,0.433,-9.75,66.67,6
ガラス土石/電子部品・産業用電子機器,2454,8,25,75,147.37,0.241,-57.69,41.03,39.0,77.61,0.57,-17.33,66.67,9
鉄鋼,2500,9,25,75,142.95,0.264,-51.3,41.03,39.0,69.23,0.802,-3.81,83.33,6
