Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2022-06-24,high_vol,0.0203740208421598,-0.0621159001627896,0.0144078917453185,False,False
2022-06-27,reversal_up,0.0426851657822948,-0.0486877432328349,0.0124627059025029,False,False
2022-06-28,reversal_up,0.0306008783526197,-0.0423789620724283,0.0117432562217489,False,False
2022-06-29,settling,0.0250500987035957,-0.0510480304445588,0.0114737490583069,False,False
2022-06-30,normal,0.0084745307350624,-0.065618335438473,0.0126458779387099,False,False
2022-07-01,normal,-0.0210007616547142,-0.081812180603217,0.0125869845710111,False,False
2022-07-04,normal,-0.0266998544129308,-0.0740876419897549,0.0125530995608364,False,False
2022-07-05,downtrend,-0.0231427818632946,-0.0645409768608878,0.011562389339928,False,False
2022-07-06,normal,-0.0260011053664923,-0.0757218305927104,0.012191776485389,False,False
2022-07-07,normal,0.0036937858555863,-0.0479350887503021,0.0130621573609619,False,False
2022-07-08,normal,0.0224236140015272,-0.0196780652694437,0.0124846063815163,False,False
2022-07-11,normal,0.0251776020627969,-0.0087680060167535,0.0121183600959498,False,False
2022-07-12,normal,-0.0032853574706495,-0.0263521070226578,0.0130193585032479,False,False
2022-07-13,normal,0.0142149574960703,-0.0210984228911017,0.0130242543846319,False,False
2022-07-14,normal,0.0057704142643548,-0.0150124962732851,0.0121677227012565,False,False
2022-07-15,normal,0.0102303922698727,-0.0096489873263896,0.0103484656270494,False,False
2022-07-19,normal,0.005571282653761,-0.0032455724028218,0.0102592855224945,False,False
2022-07-20,normal,0.0510163248264472,0.0,0.0125762437352578,False,False
2022-07-21,normal,0.0500110274077183,0.0,0.0111477180986805,False,False
2022-07-22,normal,0.0477142548838038,0.0,0.0107691437576234,False,False
2022-07-25,normal,0.0339989283811095,-0.0077167393421327,0.0114852555856082,False,False
2022-07-26,settling,0.0257228502837505,-0.0092943713911527,0.0113645737501774,False,False
2022-07-27,normal,0.0012821496140391,-0.0071256520816165,0.0087362203619429,False,False
2022-07-28,uptrend,0.0004488892835305,-0.0035529605929232,0.0087491024546506,False,False
2022-07-29,uptrend,-0.0040487518249329,-0.0040487518249329,0.0088992284784482,False,False
2022-08-01,uptrend,0.0106176018980659,0.0,0.0089317324525659,False,False
2022-08-02,settling,-0.0021869465717214,-0.0142397800258781,0.0106465161223089,False,False
2022-08-03,uptrend,0.0009435209447696,-0.0089824627012763,0.0066167489460054,False,False
2022-08-04,uptrend,0.0041961795386253,-0.0021844613623701,0.0068285427653086,False,False
2022-08-05,uptrend,0.0134606630116815,0.0,0.0072483933313582,False,False
2022-08-08,uptrend,0.0091411220368677,0.0,0.0065803569979791,False,False
2022-08-09,uptrend,0.0146850671076097,-0.0088242832305155,0.0073679108456139,False,False
2022-08-10,uptrend,0.0027910736614917,-0.0152184679192491,0.0077443903038439,False,False
2022-08-12,uptrend,0.0220097689116909,0.0,0.0112647101853975,False,False
2022-08-15,uptrend,0.0246987999829475,0.0,0.0115184144593241,False,False
2022-08-16,uptrend,0.021935808422945,-9.9375261756407e-05,0.0115248656653315,False,False
2022-08-17,uptrend,0.0436717964171267,0.0,0.0100335648468691,False,False
2022-08-18,uptrend,0.0403608046535202,-0.009603090697817,0.0111584155180198,False,False
2022-08-19,uptrend,0.0134287270695634,-0.0100072463293485,0.0112097465697492,False,False
2022-08-22,uptrend,-0.002676637836566,-0.0146553368527243,0.0113272546666788,False,False
2022-08-23,normal,-0.0144155132285069,-0.0263499847414039,0.0121677474024733,False,False
2022-08-24,normal,-0.0311161071558471,-0.0311161071558471,0.0118831092517561,False,False
2022-08-25,normal,-0.0160019559498287,-0.0254513784133172,0.0116398079207727,False,False
2022-08-26,stable,-0.0099877608713659,-0.0198950572173961,0.0083289700301536,False,False
2022-08-29,normal,-0.0317956228620048,-0.0459849841512444,0.0109877595655042,False,False
2022-08-30,normal,-0.0090384908971892,-0.0351503115413668,0.0119313027820831,False,False
2022-08-31,normal,-0.0078387213131558,-0.038710917976658,0.0107807289349986,False,False
2022-09-01,normal,-0.0287067236265634,-0.0534274763538544,0.011257335373998,False,False
2022-09-02,normal,-0.0345842618583375,-0.0537912632072405,0.011258287395947,False,False
2022-09-05,normal,-0.0093027700380018,-0.0548599664564861,0.0113062255443111,False,False
2022-09-06,normal,-0.020182961688435,-0.0546238358386259,0.0110269395885461,False,False
2022-09-07,normal,-0.023538359504641,-0.0613380859772098,0.0110934790239302,False,False
2022-09-08,normal,0.0145982329748064,-0.0396091901261176,0.0136905698800116,False,False
2022-09-09,normal,0.020393961248069,-0.0344943188965047,0.0136694886379473,False,False
2022-09-12,reversal_up,0.0334001827279644,-0.0232921166326183,0.0109026784358245,False,False
2022-09-13,reversal_up,0.035767134615734,-0.0208104393125597,0.0104453984452814,False,False
2022-09-14,high_vol,0.0141565476248963,-0.0388195710515106,0.0139745173722023,False,False
2022-09-15,normal,-0.0067474525595078,-0.0364468680111007,0.0130303887929756,False,False
2022-09-16,normal,-0.0229347986204024,-0.0426070815390091,0.013568732060807,False,False
2022-09-20,normal,-0.0299098234790153,-0.0332721715541195,0.0136393135935231,False,False
2022-09-21,high_vol,-0.0454837249656006,-0.0463752081829264,0.014329701558854,False,False
2022-09-22,high_vol,-0.0238972703547737,-0.0519371181352483,0.0142756107392162,False,False
2022-09-26,normal,-0.0518138911663899,-0.077155151456382,0.0136085400978122,False,False
2022-09-27,normal,-0.0361213681938826,-0.0713887147029447,0.0136069764293411,False,False
2022-09-28,normal,-0.0546957701955584,-0.0852937926272555,0.012346296311067,False,False
2022-09-29,normal,-0.0326246039940582,-0.0766244404444814,0.013204058766093,False,False
