date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-02-16,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,940.0,200,209772.00000000003,0.5110441166065549,2026-02-13,sell_signal
2026-02-16,4977.T,化学/食品,化学,SELL,1380.0,200,485772.0,0.46643055412715945,2026-02-13,sell_signal
2026-02-16,3289.T,225/不動産,不動産業,SELL,1541.0,300,948072.0,0.39179794327193296,2026-02-13,sell_signal
2026-02-16,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3455.0,100,1293572.0,0.39941965809808283,2026-02-13,sell_signal
2026-02-16,1879.T,建設/建設・土木,建設業,SELL,2060.0,300,1911572.0,0.31080192062721157,2026-02-13,sell_signal
2026-02-16,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1130.0,900,2928572.0,0.3463437365559811,2026-02-13,sell_signal
2026-02-16,1768.T,建設/建設・土木,建設業,SELL,1687.0,100,3097272.0,0.5158347889848095,2026-02-13,sell_signal
2026-02-17,4977.T,化学/食品,化学,BUY,1400.6999999999998,100,2957202.0,0.5723730941179018,2026-02-16,buy_breakout_up
2026-02-17,1808.T,225/建設,建設業,BUY,3238.865,100,2633315.5,0.5153994338561964,2026-02-16,buy_breakout_up
2026-02-17,3352.T,小売/他消費財小売り,小売業,BUY,1767.0,300,2103215.5,0.4413798096837178,2026-02-16,buy_breakout_up
2026-02-18,7887.T,その他製品/住宅設備・機器,その他製品,BUY,12460.0,100,857215.5,0.7561223740647731,2026-02-17,buy_breakout_up
2026-02-19,6379.T,建設/燃料・資源,建設業,BUY,2576.0699999999997,100,599608.5,0.4599564966785498,2026-02-18,buy_breakout_up
2026-02-19,9063.T,陸運/陸運,陸運業,BUY,4506.599999999999,100,148948.50000000006,0.43351331019687966,2026-02-18,buy_breakout_up
2026-02-20,7887.T,その他製品/住宅設備・機器,その他製品,SELL,12170.0,100,1365948.5,0.8055726048246507,2026-02-19,sell_signal
2026-02-24,4977.T,化学/食品,化学,SELL,1446.0,100,1510548.5,0.5109011412031275,2026-02-20,sell_signal
2026-02-24,1808.T,225/建設,建設業,SELL,3279.0,100,1838448.5,0.4298926400645315,2026-02-20,sell_signal
2026-02-24,3352.T,小売/他消費財小売り,小売業,SELL,1835.0,300,2388948.5,0.41290472611505424,2026-02-20,sell_signal
2026-02-24,6379.T,建設/燃料・資源,建設業,SELL,2579.0,100,2646848.5,0.4326051717097345,2026-02-20,sell_signal
2026-02-24,9063.T,陸運/陸運,陸運業,SELL,4755.0,100,3122348.5,0.455274586390424,2026-02-20,sell_signal
2026-02-26,8600.T,銀行/地方銀行,銀行業,BUY,960.1899999999999,100,3026329.5,0.6883676420434856,2026-02-25,buy_breakout_up
2026-02-26,6379.T,建設/燃料・資源,建設業,BUY,2604.49,100,2765880.5,0.5290494381130774,2026-02-25,buy_breakout_up
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,500,1521998.0,0.5190984163772688,2026-02-26,buy_breakout_up
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,600,216911.0,0.46069426951730763,2026-02-26,buy_breakout_up
2026-03-03,8600.T,銀行/地方銀行,銀行業,SELL,919.0,100,308811.0,0.4971058717030097,2026-03-02,sell_signal
2026-03-03,6379.T,建設/燃料・資源,建設業,SELL,2491.0,100,557911.0,0.3746749150180576,2026-03-02,sell_signal
2026-03-03,4619.T,化学/タイヤ・ゴム,化学,SELL,2416.0,500,1765911.0,0.40553820370782817,2026-03-02,sell_signal
2026-03-03,1879.T,建設/建設・土木,建設業,SELL,2054.0,600,2998311.0,0.3206482673892092,2026-03-02,stop_loss
