name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
overall_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,8,0.5,4,3,3159125.833251953,5.30419444173178,6,6,-2.288041749760761,8
max_drawdown_pct_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,20,1.0,5,4,3156779.0,5.225966666666659,4,4,-2.1549444738233725,20
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,1.0,5,4,3153110.0,5.103666666666662,3,3,-1.7419317828806125,5
overall_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,8,0.5,5,4,3152859.134033203,5.095304467773443,6,6,-2.292724678928315,8
max_drawdown_pct_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,10,1.0,5,4,3146979.0,4.899300000000006,2,2,-0.9044204322200433,10
max_drawdown_pct_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,5,1.0,3,3,3144389.0,4.812966666666663,2,2,-1.9149753694581273,5
max_drawdown_pct_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,8,0.5,4,3,3142974.0000000005,4.76580000000002,3,3,-1.6319389615186197,8
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,0.5,3,3,3135989.525665283,4.532984188842781,19,19,-4.40386558062027,30
def_lowdd_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,max_drawdown_pct,True,10,0.5,5,4,3133314.0000000005,4.44380000000002,4,4,-1.9138993190669362,10
max_drawdown_pct_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,30,1.0,5,4,3133125.0,4.437500000000005,9,9,-3.5614841403012854,30
max_drawdown_pct_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,5,0.5,4,3,3131653.5000000005,4.38845000000001,3,3,-1.6380649147882953,5
max_drawdown_pct_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,12,1.0,5,4,3130779.0,4.359299999999999,2,2,-0.9092435315030567,12
max_drawdown_pct_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,15,1.0,5,4,3130779.0,4.359299999999999,2,2,-0.9092435315030567,15
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,0.5,4,3,3129488.525665283,4.316284188842778,19,19,-4.4126102110430665,30
max_drawdown_pct_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,8,1.0,3,3,3129389.0,4.312966666666673,2,2,-1.9244554455445595,8
ocr_per_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,5,1.5,5,4,3124063.500000001,4.1354500000000405,3,3,-2.2087586228718092,5
ocr_per_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,20,0.5,3,3,3122078.9505004887,4.069298350016282,12,12,-5.785129684869251,20
overall_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,8,1.0,3,3,3117256.666503906,3.9085555501301883,6,6,-2.2853372718450893,8
sector_adjusted_per_score_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,30,0.5,5,4,3116988.025665283,3.899600855509444,19,19,-4.6488790065725265,30
max_drawdown_pct_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,8,0.5,3,3,3116174.0000000005,3.872466666666674,3,3,-1.6423560295411255,8
max_drawdown_pct_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,20,1.0,3,3,3112479.0,3.7493,4,4,-1.8244315177154968,20
end_to_trailing_high_pct_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,end_to_trailing_high_pct,False,30,1.0,5,4,3108241.333374023,3.608044445800762,11,10,-6.263062828614796,30
overall_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,8,0.5,3,3,3107625.833251953,3.5875277750651025,6,6,-2.2925249915496826,8
overall_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,10,0.5,4,3,3098031.4166259766,3.267713887532553,8,8,-2.4315756138877154,10
def_lowdd_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,max_drawdown_pct,True,10,0.5,4,3,3094114.0000000005,3.1371333333333418,4,4,-2.259939077038753,10
max_drawdown_pct_top5,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,5,0.5,3,3,3094038.0000000005,3.1346000000000096,3,3,-1.564464983061653,5
overall_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,10,0.5,5,4,3092998.0670166016,3.099935567220058,8,8,-2.5980922147901375,10
overall_score_top8,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,8,1.0,5,4,3085601.316894531,2.8533772298176885,6,6,-3.2569194906521437,8
def_lowdd_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,max_drawdown_pct,True,10,0.5,3,3,3077314.0000000005,2.577133333333359,4,4,-2.267180936199742,10
max_drawdown_pct_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,10,1.0,3,3,3077079.0,2.5692999999999966,2,2,-0.9115841584158457,10
ocr_per_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,15,1.0,3,3,3076147.0,2.5382333333333396,6,6,-0.9191590391369964,15
ocr_per_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,15,1.5,5,4,3070585.0000000005,2.3528333333333595,5,5,-1.530786699526443,15
ocr_per_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,15,1.0,5,4,3068347.0,2.278233333333324,6,6,-1.175072903440888,15
def_lowdd_top10,0.35,0.0,-10.0,35.0,35.0,15.0,12.0,90.0,0.35,18.0,max_drawdown_pct,True,10,1.0,3,3,3068113.0,2.2704333333333437,3,3,-2.9507340924469383,10
max_drawdown_pct_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,12,1.0,3,3,3068079.0,2.2693000000000074,2,2,-0.9142999006951369,12
max_drawdown_pct_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,max_drawdown_pct,True,15,1.0,3,3,3068079.0,2.2693000000000074,2,2,-0.9142999006951369,15
end_to_trailing_high_pct_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,end_to_trailing_high_pct,False,30,1.0,3,3,3067174.6707763667,2.239155692545558,11,10,-6.261211864098182,30
ocr_per_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,10,1.0,3,3,3066084.0,2.2027999999999937,5,5,-1.054031190493654,10
ocr_per_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,12,1.0,3,3,3066084.0,2.2027999999999937,5,5,-1.054031190493654,12
ocr_per_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,10,1.5,5,4,3062695.5000000005,2.0898500000000153,4,4,-1.6968275572156521,10
ocr_per_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,12,1.5,5,4,3062695.5000000005,2.0898500000000153,4,4,-1.6968275572156521,12
overall_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,overall_score,False,10,1.0,3,3,3062491.8332519527,2.0830611083984207,8,8,-2.1453459759973703,10
