horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
20,0.55,-0.01,0.07,0.12,3075483.2700000005,75483.27000000048,395,91,0.23037974683544304
10,0.65,-0.02,0.05,0.08,3071486.7,71486.70000000019,53,3,0.05660377358490566
10,0.65,-0.02,0.05,0.12,3071486.7,71486.70000000019,53,3,0.05660377358490566
10,0.65,-0.02,0.05,0.16,3071486.7,71486.70000000019,53,3,0.05660377358490566
10,0.65,-0.02,0.05,0.2,3071486.7,71486.70000000019,53,3,0.05660377358490566
20,0.65,-0.03,0.07,0.08,3071307.93,71307.93000000017,76,7,0.09210526315789473
20,0.65,0.0,0.05,0.16,3068895.0,68895.0,322,78,0.2422360248447205
20,0.65,-0.01,0.05,0.08,3068689.8450000016,68689.8450000016,322,95,0.2950310559006211
30,0.65,-0.03,0.07,0.16,3067844.420000002,67844.42000000179,221,58,0.26244343891402716
15,0.6,-0.01,0.07,0.08,3067253.375,67253.375,79,2,0.02531645569620253
15,0.6,-0.01,0.07,0.12,3067253.375,67253.375,79,2,0.02531645569620253
15,0.6,-0.01,0.07,0.16,3067253.375,67253.375,79,2,0.02531645569620253
15,0.6,-0.01,0.07,0.2,3067253.375,67253.375,79,2,0.02531645569620253
10,0.6,-0.02,0.07,0.08,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.6,-0.02,0.07,0.12,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.6,-0.02,0.07,0.16,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.6,-0.02,0.07,0.2,3066899.7,66899.70000000019,51,3,0.058823529411764705
10,0.6,-0.03,0.07,0.08,3062732.0500000003,62732.05000000028,51,3,0.058823529411764705
10,0.6,-0.03,0.07,0.12,3062732.0500000003,62732.05000000028,51,3,0.058823529411764705
10,0.6,-0.03,0.07,0.16,3062732.0500000003,62732.05000000028,51,3,0.058823529411764705
10,0.6,-0.03,0.07,0.2,3062732.0500000003,62732.05000000028,51,3,0.058823529411764705
30,0.7,0.0,0.05,0.12,3061735.0,61735.0,471,86,0.18259023354564755
20,0.65,0.0,0.05,0.08,3055239.0,55239.0,322,87,0.2701863354037267
15,0.65,-0.03,0.05,0.12,3054181.0500000007,54181.050000000745,104,18,0.17307692307692307
15,0.7,0.0,0.03,0.16,3053272.0,53272.0,422,99,0.23459715639810427
20,0.65,-0.02,0.07,0.08,3050255.9100000006,50255.910000000615,76,6,0.07894736842105263
10,0.7,-0.03,0.03,0.2,3048025.365,48025.36500000022,92,8,0.08695652173913043
15,0.7,-0.03,0.05,0.08,3047570.55,47570.549999999814,48,2,0.041666666666666664
15,0.7,-0.03,0.05,0.12,3047570.55,47570.549999999814,48,2,0.041666666666666664
15,0.7,-0.03,0.05,0.16,3047570.55,47570.549999999814,48,2,0.041666666666666664
15,0.7,-0.03,0.05,0.2,3047570.55,47570.549999999814,48,2,0.041666666666666664
15,0.7,-0.02,0.05,0.08,3047108.7,47108.700000000186,48,2,0.041666666666666664
15,0.7,-0.02,0.05,0.12,3047108.7,47108.700000000186,48,2,0.041666666666666664
15,0.7,-0.02,0.05,0.16,3047108.7,47108.700000000186,48,2,0.041666666666666664
15,0.7,-0.02,0.05,0.2,3047108.7,47108.700000000186,48,2,0.041666666666666664
10,0.7,-0.01,0.03,0.16,3044413.26,44413.25999999978,92,4,0.043478260869565216
10,0.7,-0.01,0.03,0.2,3044413.26,44413.25999999978,92,4,0.043478260869565216
10,0.65,-0.03,0.05,0.08,3043769.75,43769.75,53,3,0.05660377358490566
10,0.65,-0.03,0.05,0.12,3043769.75,43769.75,53,3,0.05660377358490566
10,0.65,-0.03,0.05,0.16,3043769.75,43769.75,53,3,0.05660377358490566
10,0.65,-0.03,0.05,0.2,3043769.75,43769.75,53,3,0.05660377358490566
15,0.55,0.0,0.05,0.16,3042317.5,42317.5,941,174,0.1849096705632306
10,0.7,0.0,0.03,0.16,3041328.0,41328.0,92,3,0.03260869565217391
10,0.7,0.0,0.03,0.2,3041328.0,41328.0,92,3,0.03260869565217391
10,0.6,-0.03,0.05,0.08,3039643.8500000006,39643.85000000056,92,13,0.14130434782608695
10,0.55,-0.01,0.07,0.08,3039220.535,39220.53500000015,79,2,0.02531645569620253
10,0.55,-0.01,0.07,0.12,3039220.535,39220.53500000015,79,2,0.02531645569620253
10,0.55,-0.01,0.07,0.16,3039220.535,39220.53500000015,79,2,0.02531645569620253
10,0.55,-0.01,0.07,0.2,3039220.535,39220.53500000015,79,2,0.02531645569620253
20,0.55,-0.01,0.07,0.16,3037681.420000001,37681.42000000086,395,85,0.21518987341772153
15,0.65,-0.02,0.05,0.08,3036442.0500000007,36442.050000000745,104,12,0.11538461538461539
10,0.65,-0.01,0.03,0.12,3034462.91,34462.91000000015,275,87,0.31636363636363635
15,0.65,-0.01,0.07,0.08,3034020.84,34020.83999999985,48,1,0.020833333333333332
15,0.65,-0.01,0.07,0.12,3034020.84,34020.83999999985,48,1,0.020833333333333332
15,0.65,-0.01,0.07,0.16,3034020.84,34020.83999999985,48,1,0.020833333333333332
15,0.65,-0.01,0.07,0.2,3034020.84,34020.83999999985,48,1,0.020833333333333332
30,0.55,0.0,0.05,0.08,3033069.500427246,33069.500427246094,16271,218,0.013398070186220884
