ticker,company_name,sector,score,fail_total,failed
5918.T,瀧上工業,金属製品,0.2014988629795303,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7272.T,ヤマハ発動機,輸送用機器,0.2015908000845218,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6254.T,野村マイクロ・サイエンス,機械,0.2016411638304509,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7399.T,ナンシン,輸送用機器,0.2017059220095635,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7203.T,トヨタ自動車,輸送用機器,0.2034580962677331,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5998.T,アドバネクス,金属製品,0.2037901884189378,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4260.T,ハイブリッドテクノロジーズ,情報・通信業,0.2040240322748347,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
9242.T,メディア総研,サービス業,0.2046523283205302,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4845.T,スカラ,情報・通信業,0.2046995420613723,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
5406.T,神戸製鋼所,鉄鋼,0.2047344995712415,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6036.T,ＫｅｅＰｅｒ技研,サービス業,0.2049103212837486,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4360.T,マナック・ケミカル・パートナーズ,化学,0.2050730258943275,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4538.T,扶桑薬品工業,医薬品,0.2051803860055923,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
4960.T,ケミプロ化成,化学,0.2053098883886396,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
147A.T,ソラコム,情報・通信業,0.2053402676302458,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
7372.T,デコルテ・ホールディングス,サービス業,0.2062415883404531,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
6723.T,ルネサスエレクトロニクス,電気機器,0.2063630046855976,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
3926.T,オープンドア,情報・通信業,0.2066172075805836,5,trend_r2>=0.75 / positive_month_ratio_pct>=60 / annual_return_pct>=30 / quarter_return_pct>=18 / persistence_20d_pct>=65
